======================================================================================================================================================
COCO METRICS COMPARISON - VisDrone Test Set (with FLOPs)
======================================================================================================================================================

                model  params_M   FLOPs_G        FPS  latency_ms  AP@[.5:.95]    AP@.5   AP@.75  AP_small  AP_medium  AP_large     AR@1    AR@10   AR@100  AR_small  AR_medium  AR_large
              yolov8s 11.135987 14.323482 185.059207    5.403676     0.119367 0.299770 0.074752  0.089291   0.392480  0.557927 0.013786 0.078457 0.172084  0.141527   0.469138  0.649474
          yolov8-base  3.011043  4.097075 191.467574    5.222816     0.104149 0.269527 0.060391  0.072827   0.369726  0.513819 0.012735 0.069458 0.152677  0.122217   0.449793  0.603158
            yolov8-p2  2.926692  6.179110 150.019136    6.665816     0.126016 0.322997 0.071880  0.095953   0.371155  0.454502 0.013604 0.080801 0.188923  0.161987   0.453024  0.565263
       yolov8-p2-cbam  2.932104  6.183480 137.816571    7.256021     0.124781 0.323202 0.072802  0.097472   0.370587  0.463940 0.013816 0.080516 0.188522  0.161211   0.456835  0.553684
yolov8-p2-cbam-scdown  2.852296  6.067768 136.604526    7.320402     0.124396 0.323976 0.072012  0.095902   0.375991  0.479942 0.014141 0.080363 0.187521  0.160137   0.455302  0.577895
              yolov10  2.707430  4.196480 115.199996    8.680556     0.104167 0.264466 0.062036  0.073836   0.376497  0.525761 0.012012 0.070733 0.168162  0.135585   0.485998  0.641053
              yolov12  2.568243  3.239910  81.284930   12.302403     0.105321 0.276446 0.061977  0.075979   0.373416  0.517940 0.013056 0.073282 0.156734  0.125996   0.456752  0.608421
              yolov11  2.590035  3.220301 128.952941    7.754767     0.104877 0.274321 0.059172  0.075045   0.374973  0.528639 0.012833 0.072084 0.156475  0.125711   0.456504  0.623158

======================================================================================================================================================
